Branch,Division,Group,Item,Qty,Total Amount
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,PISTACHIO YOGHURT SMALL,1,400
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO SMALL,36,13000
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO MEDIUM,16,8000
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,PISTACHIO YOGHURT COMBO X-LARGE,4,2533.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,LOTUS YOGHURT SMALL,9.5,2666.67
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,LOTUS YOGHURT MEDIUM,1,333.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,LOTUS YOGHURT COMBO SMALL,235.5,66466.67
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,LOTUS YOGHURT COMBO MEDIUM,118.5,46850
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,LOTUS YOGHURT COMBO X-LARGE,5.5,2883.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,POMEGRANATE YOGHURT SMALL,25.5,7550
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,POMEGRANATE YOGHURT COMBO SMALL,645.6,192700
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,POMEGRANATE YOGHURT COMBO MEDIUM,257.9,102460
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,POMEGRANATE YOGHURT MEDIUM,6,2000
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,POMEGRANATE YOGHURT COMBO X-LARGE,26,13683.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP MANGO,77,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP CHOCOLATE,70,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP POMEGRANATE,73,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP SPECULOSE LOTUS,37,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP ORIGINAL YOUGHURT,80.5,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT SMALL,30.5,9116.67
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO SMALL,1543.6,494483.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT MEDIUM,7,2333.33
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO MEDIUM,681.3,272070
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT X-LARGE,1,466.67
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,BLUEBERRY YOGHURT COMBO X-LARGE,63.5,33816.67
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP BLUEBERRY,88,0
Stories.,FROZEN YOGHURT,FROZEN YOGHURT,TASTING CUP PISTACHIO,6,0
Stories.,SANDWICHES,SUB SANDWICHES,TUNA SUB,5,1833.33
Stories.,SANDWICHES,SUB SANDWICHES,VEGGIE SUB,245,1100
Stories.,SANDWICHES,SUB SANDWICHES,TURKEY & CHEESE SUB,134,49133.33
Stories.,SANDWICHES,SUB SANDWICHES,CHICKEN TERIAKI SUB,75,27500
Stories.,SANDWICHES,SUB SANDWICHES,BROWN CHICKEN TERIAKI SUB,70,28000
Stories.,SANDWICHES,SUB SANDWICHES,BROWN TUNA SUB,5,2000
Stories.,SANDWICHES,SUB SANDWICHES,BROWN TURKEY & CHEESE SUB,95,38000
Stories.,SANDWICHES,SUB SANDWICHES,BROWN VEGGIE SUB,2,800
Stories.,SANDWICHES,SUB SANDWICHES,PESTO HALLOUMI SUB,105,31500
Stories.,SANDWICHES,SUB SANDWICHES,LABNEH SUB,29,2666.67
Stories.,SANDWICHES,SUB SANDWICHES,BROWN LABNEH SUB,34,10200
Stories.,SANDWICHES,SUB SANDWICHES,BROWN PESTO HALLOUMI SUB,160,53333.33
Stories.,SANDWICHES,SUB SANDWICHES,BROWN CHICKEN CAESAR SANDWICH,53,26500
Stories.,SANDWICHES,SUB SANDWICHES,CHICKEN CAESAR SANDWICH,47,21933.33
Stories.,CINNAMON ROLLS,CINNAMONS,CLASSIC CINNAMON ROLL LARGE,1088,318333.33
Stories.,CINNAMON ROLLS,CINNAMONS,CHOCOLATE ROLL LARGE,305,66666.67
Stories.,CINNAMON ROLLS,CINNAMONS,EXTRA CREAM CHEESE FROSTING MIX,93,3100
Stories.,CINNAMON ROLLS,CINNAMONS,LOTUS ROLL,5,1833.33
Stories.,CARTON,PACKAGING,CARTON HANDLE BAG,65,0
Stories.,CARTON,PACKAGING,SMALL DESSERT BOX(1PCS),36,0
Stories.,CARTON,PACKAGING,LARGE DESSERT BOX(4PCS),1,0
Stories.,NOT USED,NOT USED,TUNA PASTA SALAD/NOT USED,1,466.67
Stories.,NOT USED,NOT USED,QUINOA SALAD/NOT USED,1,466.67
Stories.,NOT USED,NOT USED,CHOCOLATE PLUS,243,24300
Stories.,NOT USED,NOT USED,CHICKEN BREAST SUB,1,366.67
Stories.,NOT USED,NOT USED,PRUNELLE THYME CROISSANT/NOT USED,140,28000
Stories.,NOT USED,NOT USED,PRUNELLE CHEESE CROISSANT/NOT USED,258,51533.33
Stories.,NOT USED,NOT USED,PRUNELLE CHOCOLATE CROISSANT/NOT USED,187,37333.33
Stories.,NOT USED,NOT USED,BROWN CHICKEN BREAST SUB,1,400
Stories.,NOT USED,NOT USED,BROWN ROAST BEEF SUB/NOT USED,1,400
Stories.,NOT USED,NOT USED,BROWN SALAMI & PEPPERONI SUB/NOT USED,1,400
Stories.,NOT USED,NOT USED,TIRAMISU ROLL/not used,6,2200
Stories.,NOT USED,NOT USED,ROCCA SALAD (GRAB&GO),6,2666.67
Stories.,NOT USED,NOT USED,STEVIA SUGAR SACHET/NOT USED,104,0
Stories.,NOT USED,NOT USED,POMEGRANATE CUP/NOT USED,108,21600
Stories.,NOT USED,NOT USED,COCONUT CUP/NOT USED,97,19400
Stories.,NOT USED,NOT USED,NY STYLE COOKIE -PISTACHIO,8,2666.67
Stories.,NOT USED,NOT USED,PASSION FRUIT YOGHURT SMALL/NOT USED,1.5,450
Stories.,NOT USED,NOT USED,PASSION FRUIT YOGHURT MEDIUM/NOT USED,0.5,166.67
Stories.,NOT USED,NOT USED,TASTING CUP PASSION FRUIT/NOT USED,2,0
Stories.,NOT USED,NOT USED,PASSION FRUIT YOGHURT COMBO SMALL/NOT USED,47.5,15833.33
Stories.,NOT USED,NOT USED,PASSION FRUIT YOGHURT COMBO MEDIUM/NOT USED,17.5,7000
Stories.,NOT USED,NOT USED,JOYCREAM FRUIT ROUGES,279,27900
Stories.,NOT USED,NOT USED,BROWN FILET STEAK SANDWICH,9,4500
Stories.,NOT USED,NOT USED,FILET STEAK SANDWICH,17,7933.33
Stories.,NOT USED,NOT USED,NY STYLE COOKIE/NOT USED,3,1000
Stories.,NOT USED,NOT USED,GRILLED VEGGIE SUB,56,933.33
Stories.,NOT USED,NOT USED,BROWN GRILLED VEGGIE SUB,1,500
Stories.,NOT USED,NOT USED,FRIKEH LENTIL SALAD (GRAP&GO),1,466.67
Stories.,NOT USED,NOT USED,LEBANESE SALAD (GRAB&GO),4,1866.67
Stories.,NOT USED,NOT USED,ADD STEAK,15,2000
Stories.,NOT USED,NOT USED,LYCHEE BOBA/NOT USED,6,0
Stories.,NOT USED,NOT USED,STRAWBERRY BOBA/NOT USED,12,0
Stories.,NOT USED,NOT USED,GRANELLA DI BISCOTTO COMBO,254,0
Stories.,NOT USED,NOT USED,KROCCO MILK,1,100
Stories.,NOT USED,NOT USED,COOKIES & MILK,189,18900
Stories.,NOT USED,NOT USED,VALENTINE HOT CHOCOLATE/NOT USED,40,14666.67
Stories.,NOT USED,NOT USED,GRANELLA DI BISCOTTO,3,300
Stories.,NOT USED,NOT USED,NUTELLA ROLL,309,113300
Stories.,NOT USED,NOT USED,ARABESCHI PISTACHIO CRYSTAL,62,6200
Stories.,NOT USED,NOT USED,BROWN ASIAN CRAB SANDWICH,1,400
Stories.,SUBS,ADD ONS,ADD SMOKED TURKEY,29,2900
Stories.,SUBS,ADD ONS,ADD CHEDDAR CHEESE,4,266.67
Stories.,SUBS,ADD ONS,ADD TUNA,1,133.33
Stories.,SUBS,ADD ONS,ADD CHICKEN,51,6766.67
Stories.,SUBS,ADD ONS,ADD HALLOUM CHEESE,16,1600
Stories.,GRAB&GO FOOD,PACKAGED FOOD,FREEZE DROPS STRAWBERRY,412,82400
Stories.,GRAB&GO FOOD,PACKAGED FOOD,MEDIUM CHIPS,221,14733.33
Stories.,GRAB&GO FOOD,SALADS,GREEK SALAD (GRAB&GO),14,6533.33
Stories.,GRAB&GO FOOD,SALADS,QUINOA SALAD (GRAB&GO),9,4200
Stories.,GRAB&GO FOOD,SALADS,TUNA PASTA SALAD (GRAB&GO),32,14933.33
Stories.,GRAB&GO FOOD,SALADS,ASIAN SALAD (GRAB&GO),18,8400
Stories.,GRAB&GO FOOD,FRUITS,PINEAPPLE CUP,17,6233.33
Stories.,GRAB&GO FOOD,FRUITS,BOUMALI CUP,115,23000
Stories.,DONUTS,DONUTS,PISTACHIO CREAM DOUGHNUTS,98,19600
Stories.,DONUTS,DONUTS,BOSTON CREAM DONUT,102,20400
Stories.,DONUTS,DONUTS,OREO DOUGHNUTS,102,20400
Stories.,DONUTS,DONUTS,HAZELNUT DOUGHNUTS,105,21000
Stories.,DONUTS,DONUTS,STRAWBERRY DOUGHNUTS,72,14400
Stories.,DONUTS,DONUTS,LOTUS DOUGHNUTS,115,23000
Stories.,DONUTS,DONUTS,KINDER DOUGHNUTS,110,22000
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,ESPRESSO,9454,1472911.74
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO,9752,1810704.15
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,AMERICANO SMALL,3856,730693.7
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,AMERICANO MEDIUM,2865,630112.01
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,AMERICANO LARGE,540,132252.67
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE SMALL,8001,1313887.38
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE MEDIUM,4686,939671.48
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE LARGE,797,185491.89
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,SINGLE ESPRESSO MACC,284,43564.17
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO MAC,331,60864.86
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,TRIPLE ESPRESSO,265,26749.67
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,SINGLE LONGO,929,164331.77
Stories Ain El Mreisseh,HOT BAR SECTION,BLACK COFFEE,DOUBLE LONGO,654,120584.14
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE SMALL,10442,2011079.65
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE MEDIUM,12020,2714020.35
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO SMALL,5099,998800
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO MEDIUM,4952,1119011.47
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA SMALL,1587,346403.06
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA MEDIUM,2253,581079.04
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA SMALL,7091,1262017.8
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA MEDIUM,7566,1947621.63
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO SMALL,2129,475259.52
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO MEDIUM,3685,947309.91
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE SMALL,3791,861704.5
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE MEDIUM,4232,1125172.38
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK SMALL,150,19101.5
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK MEDIUM,105,17570.57
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE LARGE,1474,391584.39
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA  LARGE,249,74340.54
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO LARGE,628,166714.72
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK LARGE,13,2583.78
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA LARGE,1189,354109.61
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACCHIATO LARGE,292,87012.31
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE SMALL,862,168306.31
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE MEDIUM,1271,286481.26
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE LARGE,223,59272.07
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,FLAT WHITE,5200,903026.85
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT SMALL,985,180235.13
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT MEDIUM,1213,322520.12
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT LARGE,59,19468.47
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE MEDIUM,1165,311358.56
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE SMALL,688,160705.41
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC SMALL,274,62466.01
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC MEDIUM,321,84737.66
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT SMALL,13,3452.25
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT MEDIUM,36,10731.53
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC LARGE,16,4714.41
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE SMALL,2512,597214.24
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE MEDIUM,3931,1155538.74
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE SMALL,373,83061.26
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE MEDIUM,502,132821.62
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE LARGE,64,20963.96
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE LARGE,287,85506.61
Stories Ain El Mreisseh,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE LARGE,136,45228.23
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ENGLISH BREAKFAST TEA MEDIUM,1245,194948.95
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,EARL GREY LAVENDER TEA MEDIUM,838,138301.8
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ORGANIC GREEN TEA MEDIUM,1256,208974.47
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,SOUTHERN MINT HERBAL TEA MEDIUM,726,121096.1
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD ENGLISH BREAKFAST TEA BAG,35,1279.88
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD EARL GREY LAVENDER  BAG,9,352.25
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD GREEN TEA BAG,18,827.93
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD SOUTHERN MINT HERBAL TEA BAG,8,301.5
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,636,105653.15
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,SWEET GINGER PEACH BLACK TEA MEDIUM,298,49150.15
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,12,460.96
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD SWEET GINGER PEACH BLACK  TEA BAG,6,234.83
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,BOMBAY CHAI BLACK TEA MEDIUM,364,59003
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD BOMBAY CHAI TEA BAG,6,226.13
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,MEDITERRANEAN CARAMEL TEA MEDIUM,123,20644.14
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,LEMONGRASS&ORANGE TEA MEDIUM,228,38253.75
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD MEDITERRANEAN CARAMEL TEA BAG,33,1387.39
Stories Ain El Mreisseh,HOT BAR SECTION,TEA,ADD LEMONGRASS&ORANGE TEA BAG,6,252.25
Stories Ain El Mreisseh,HOT BAR SECTION,BEANS,YIRGACHEFFE BEANS 250G,14,9069.07
Stories Ain El Mreisseh,HOT BAR SECTION,BEANS,HOUSE BLEND BEANS 250G,113,58363.96
Stories Ain El Mreisseh,HOT BAR SECTION,BEANS,AMERICAN COFFEE BEANS 250G,17,8168.17
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO SMALL,1071,213463.12
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO MEDIUM,1903,434082.7
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE SMALL,4023,761075.68
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE MEDIUM,10250,2361682.18
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA SMALL,566,116718.92
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA MEDIUM,1791,475346.55
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA SMALL,2596,541086.48
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA MEDIUM,6553,1739778.99
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO LARGE,347,91298.14
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE LARGE,1347,357169.97
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA LARGE,259,76718.62
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA LARGE,1660,492425.52
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN MEDIUM,3166,741550.87
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN LARGE,423,112271.47
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE SMALL,1650,327019.82
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE MEDIUM,4826,1111389.49
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE LARGE,1140,302094.9
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN SMALL,2533,283655.86
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO SMALL,1157,262025.52
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO MEDIUM,3562,945809.01
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO LARGE,398,118213.21
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE SMALL,47,11014.11
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE MEDIUM,151,40327.93
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC MEDIUM,424,112658.26
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC SMALL,234,52963.66
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,BLUE NADE,1900,502757.96
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT SMALL,3,720
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,27,7094.29
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE SMALL,62,14150.15
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE MEDIUM,110,29069.07
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT,6,1740.54
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE LARGE,19,6201.2
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC LARGE,21,6231.53
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE LARGE,19,5591.59
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE SMALL,2568,612050.09
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE MEDIUM,7084,2064862.52
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE SMALL,283,64230.63
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE MEDIUM,781,206762.76
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE LARGE,91,27954.95
Stories Ain El Mreisseh,COLD BAR SECTION,MIXED COLD BEVERAGES,COLD BREW BOTTLE,1445,248678.68
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE SMALL,438,82365.77
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE MEDIUM,1062,235174.78
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP SMALL,3869,880111.11
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP MEDIUM,12842,3416663.32
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP LARGE,1511,469124.44
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPP LARGE,149,36932.13
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP SMALL,1262,272064.57
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP MEDIUM,3729,975710.51
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP LARGE,571,163412.61
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP SMALL,516,95585.59
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP MEDIUM,1464,319355.56
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP LARGE,205,51019.82
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP SMALL,612,133115.62
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP MEDIUM,1114,285415.02
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP LARGE,144,41122.82
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP SMALL,324,71318.02
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP MEDIUM,1117,286392.79
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP LARGE,127,36379.58
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP SMALL,96,21103
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP MEDIUM,324,82881.68
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP MEDIUM,2757,733607.21
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP LARGE,333,94381.38
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP LARGE,50,14228.53
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAP SMALL,1458,323270.57
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP MEDIUM,2176,579120.72
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP LARGE,265,82248.41
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP SMALL,1306,286178.08
Stories Ain El Mreisseh,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM  FRAPP SMALL,550,121488.89
